#k2v    kl   kv    input_file
0       0    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16a-2015-2016_502981_l0cvv0cv1.root
#
1       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502970_l1cvv1cv1.root
0       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502971_l1cvv0cv1.root
0.5     1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502972_l1cvv0p5cv1.root
1.5     1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502973_l1cvv1p5cv1.root
2       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502974_l1cvv2cv1.root
3       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502975_l1cvv3cv1.root
1       0    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502976_l0cvv1cv1.root
1       2    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502977_l2cvv1cv1.root
1       10   1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502978_l10cvv1cv1.root
1       1    0.5    /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502979_l1cvv1cv0p5.root
1       1    1.5    /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502980_l1cvv1cv1p5.root
0       0    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16d-2017_502981_l0cvv0cv1.root
#
1       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502970_l1cvv1cv1.root
0       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502971_l1cvv0cv1.root
0.5     1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502972_l1cvv0p5cv1.root
1.5     1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502973_l1cvv1p5cv1.root
2       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502974_l1cvv2cv1.root
3       1    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502975_l1cvv3cv1.root
1       0    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502976_l0cvv1cv1.root
1       2    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502977_l2cvv1cv1.root
1       10   1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502978_l10cvv1cv1.root
1       1    0.5    /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502979_l1cvv1cv0p5.root
1       1    1.5    /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502980_l1cvv1cv1p5.root
0       0    1      /home/cmilke/Documents/dihiggs/nano_ntuples/2021_may/nanotuple_hh_bbbb_vbf_novhh_MC16e-2018_502981_l0cvv0cv1.root
#
